Name,kcal/g,"Dry matter, %",Overall,"NDF, %","ADF,%","NFC,%","Crude fiber, %","Starch, %","CP, %","Arginine, %","Histidine, %","Isoleucine, %","Leucine, %","Lysine, %","Methionine, %","Phenylalanine, %","Threonine, %","Tryptophan, %","Valine, %","Alanine, %","Aspartic acid, %","Cystine, %","Met + Cys, %","Glutamic acid, %","Glycine,%","Proline,%","Serine, %","Tyrosine, %","Phe + Tyr, %","Ether extract, %","SFA, %","MUFA, %","PUFA, %","n-3 PUFA, %","n-6 PUFA, %",n-3/n-6 ratio,"C14:0, %","C15:0, %","C15:1, %","C16:0, %","C16:1, %","C17:0, %","C17:1, %","C18:0, %","C18:1, %","C18:2 cis n-6 (LA), %","C18:3 cis n-3 (ALA), %","C20:0, %","C20:1, %","C20:4n-6 (ARA), %","C20:5n-3 (EPA), %","C22:0, %","C22:1, %","C22:6n-3 (DHA), %","C24:0, %",Ash,Vitamin A,"beta-carotene, ppm","Vitamin D3, ppm",25(OH)D3,"Vitamin E 
(as α-tocopherol), ppm",Vitamin K,Astaxanthin (AST),"Thiamin (B1), ppm","Riboflavin (B2), ppm","Niacin (B3), ppm","Pantothenic
acid (B5), ppm","Pyridoxine (B6), ppm","Biotin (B7), ppm","Folate (B9), ppm","Vitamin B12, ppm","Choline, ppm","Calcium, %","(Total)
Phosphorus, %","(non-phytate)
available P, %",Ca:P ratio,"Na, %","Cl, %","K, %","Mg, %","S, %","Cu, ppm","I, ppm","Fe, ppm","Mn, ppm","Se, ppm","Zn, ppm","ME, kcal/kg","Vitamin E (as α-tocopherol), ppm","Pantothenic acid (B5), ppm","(Total) Phosphorus, %","(non-phytate) available P, %"
Corn,3.49,88.5,151.44,8.5,1.7,76.7,1.95,62.59,7.9,0.37,0.23,0.28,0.99,0.26,0.17,0.39,0.29,0.06,0.39,0.59,0.54,0.19,0.36,1.45,0.32,0.68,0.37,0.25,0.64,5.27,0.466,0.955,1.795,0.045,1.932,,0.001,,,0.366,0.006,,,0.061,0.856,1.932,0.045,0.025,0.008,,,0.006,,,0.008,1.49,,19.09,,,16.12,,,2.88,2.05,19.01,4.37,5.71,,0.5,,607.32,0.01,0.26,,0.038,0.005,0.05,0.29,0.09,0.13,0.0002,,0.0038,0.0006,7e-06,0.0018,,,,,
Soybean meal,2.514,89.5,48.76,10.3,5.5,28.4,3.49,1.07,48.5,3.66,1.56,2.13,3.71,3.07,0.7,2.51,1.99,0.68,2.22,2.16,5.28,0.88,1.58,8.23,2.07,2.54,2.41,1.71,4.22,1.54,0.395,0.389,0.728,1.15,0.17,,0.018,,,0.25,0.002,,,0.12,0.248,0.736,0.181,0.004,0.002,,,0.008,,,,6.29,,15.3,17.81,,0.07,,,,,,,,,3.41,,2433.82,0.42,0.68,,0.618,0.01,0.05,2.08,0.26,0.44,0.0013,,0.0084,0.0031,2.7e-06,0.0055,,,,,
Corn oil,8.405,94.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,99.2,13.8,26.3,54.1,0.1,57.7,,,,,11.0,0.15,,,2.0,28.4,55.0,1.0,0.25,0.1,0.15,0.01,0.15,0.1,0.01,0.02,,,,,,226.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dicalcium
phosphate",,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,18.0,,,0.18,0.47,0.15,0.8,0.8,,,0.79,0.14,,,,,,,
Limestone,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,0.05,0.03,0.1,2.1,,,,0.35,0.02,,,,,,,
NaCl,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,39.0,60.0,,0.01,0.2,,,0.01,,,,,,,,
